Feature,LR Mean SHAP,RF Mean SHAP,XGB Mean SHAP,LR Rank,RF Rank,XGB Rank,Avg Rank
cp,0.43406841922739603,0.1010783354353213,0.6408619,4,1,1,2.0
thal,0.7226490763945971,0.0958268928178116,0.6405464,2,2,2,2.0
ca,0.8757306737553351,0.0802105550236312,0.54057336,1,3,3,2.3333333333333335
oldpeak,0.3316693650203177,0.04478679890407554,0.26434603,5,4,4,4.333333333333333
slope,0.3264784222705409,0.03990714315539885,0.18268171,6,5,7,6.0
sex,0.4660853711253979,0.02274635648759932,0.10396433,3,9,8,6.666666666666667
exang,0.3136582139868585,0.030980670197309716,0.08177101,7,7,11,8.333333333333334
age,0.019148483378344794,0.026361708200930176,0.22065586,13,8,5,8.666666666666666
thalach,0.19689917185371061,0.035442098988843186,0.09564584,11,6,9,8.666666666666666
chol,0.16933807560074451,0.017805310921681538,0.19364528,12,10,6,9.333333333333334
trestbps,0.30147936642545614,0.012432381808878531,0.084678724,8,12,10,10.0
restecg,0.29933758374770914,0.013101999920609203,0.08128282,9,11,12,10.666666666666666
fbs,0.22530164364127436,0.0010470972331348078,0.005477583,10,13,13,12.0
